model,silhouette,calinski_harabasz,davies_bouldin,inertia,accuracy,precision_weighted,recall_weighted,f1_weighted,confusion_matrix,cluster_label_map,precision_per_class,recall_per_class,f1_per_class,support_per_class,roc_auc_ovr
kmeans,0.30891846235014636,229.0839788575922,1.0882349496070731,27949.4997014622,0.5888501742160279,0.5014719420859347,0.5888501742160279,0.4935866259721325,"[[  0   0   9  29   0   0   0   0]
 [  0   0   0   6   0   0   0   0]
 [  0   0 128  22   0   0   0   0]
 [  0   0   0 333   0   0   0  13]
 [  0   0   0   1   0   0   0   0]
 [  0   0   2 104   0   0   0   0]
 [  0   0   0  42   0   0   0   0]
 [  0   0  25 101   0   0   0  46]]","{0: 3, 1: 2, 2: 7, 3: 2, 4: 3, 5: 0, 6: 3, 7: 3}","[0.0, 0.0, 0.7804878048780488, 0.5219435736677116, 0.0, 0.0, 0.0, 0.7796610169491526]","[0.0, 0.0, 0.8533333333333334, 0.9624277456647399, 0.0, 0.0, 0.0, 0.26744186046511625]","[0.0, 0.0, 0.8152866242038217, 0.676829268292683, 0.0, 0.0, 0.0, 0.39826839826839827]","[38, 6, 150, 346, 1, 106, 42, 172]",
mlp,,,,,0.9001161440185831,0.9274138278120405,0.9001161440185831,0.9103004312967538,"[[ 32   2   0   1   0   0   3   0]
 [  0   6   0   0   0   0   0   0]
 [  0   0 144   2   0   0   0   4]
 [  0   0   0 305   4  16   5  16]
 [  0   0   0   0   0   0   1   0]
 [  0   0   0   2   0 103   0   1]
 [  0   5   0   0   0   0  37   0]
 [  1  17   0   5   0   0   1 148]]",,"[0.9696969696969697, 0.2, 1.0, 0.9682539682539683, 0.0, 0.865546218487395, 0.7872340425531915, 0.8757396449704142]","[0.8421052631578947, 1.0, 0.96, 0.8815028901734104, 0.0, 0.9716981132075472, 0.8809523809523809, 0.8604651162790697]","[0.9014084507042254, 0.3333333333333333, 0.9795918367346939, 0.9228441754916793, 0.0, 0.9155555555555556, 0.8314606741573034, 0.8680351906158358]","[38, 6, 150, 346, 1, 106, 42, 172]",0.9913832432281108
random_forest,,,,,0.9744483159117305,0.9758243691623841,0.9744483159117305,0.9750694453132851,"[[ 36   0   0   1   0   0   0   1]
 [  1   5   0   0   0   0   0   0]
 [  0   0 149   0   0   0   0   1]
 [  0   0   1 336   2   0   0   7]
 [  0   0   0   1   0   0   0   0]
 [  0   0   0   0   0 106   0   0]
 [  0   0   0   1   0   0  40   1]
 [  1   1   0   2   0   0   1 167]]",,"[0.9473684210526315, 0.8333333333333334, 0.9933333333333333, 0.9853372434017595, 0.0, 1.0, 0.975609756097561, 0.943502824858757]","[0.9473684210526315, 0.8333333333333334, 0.9933333333333333, 0.9710982658959537, 0.0, 1.0, 0.9523809523809523, 0.9709302325581395]","[0.9473684210526315, 0.8333333333333334, 0.9933333333333333, 0.9781659388646288, 0.0, 1.0, 0.963855421686747, 0.9570200573065902]","[38, 6, 150, 346, 1, 106, 42, 172]",0.996406829508566
