model,silhouette,calinski_harabasz,davies_bouldin,inertia,accuracy,precision_weighted,recall_weighted,f1_weighted,confusion_matrix,cluster_label_map,precision_per_class,recall_per_class,f1_per_class,support_per_class,roc_auc_ovr
kmeans,0.3418203361334268,126.74457262425118,1.1178237273864524,70932.44572993394,0.6213704994192799,0.5160196866098414,0.6213704994192799,0.5534128625984652,"[[  0   0   5  11   0   0  10  12]
 [  0   0   0   0   0   0   0   6]
 [  0   0 129  20   0   0   1   0]
 [  0   0  20 301   0   0   3  22]
 [  0   0   0   1   0   0   0   0]
 [  0   0   3  98   0   0   5   0]
 [  0   0   2   7   0   0  28   5]
 [  0   0  22  73   0   0   0  77]]","{0: 7, 1: 3, 2: 2, 3: 2, 4: 7, 5: 6, 6: 3, 7: 7}","[0.0, 0.0, 0.712707182320442, 0.589041095890411, 0.0, 0.0, 0.5957446808510638, 0.6311475409836066]","[0.0, 0.0, 0.86, 0.869942196531792, 0.0, 0.0, 0.6666666666666666, 0.4476744186046512]","[0.0, 0.0, 0.7794561933534743, 0.7024504084014003, 0.0, 0.0, 0.6292134831460674, 0.5238095238095238]","[38, 6, 150, 346, 1, 106, 42, 172]",
mlp,,,,,0.9001161440185831,0.9274138278120405,0.9001161440185831,0.9103004312967538,"[[ 32   2   0   1   0   0   3   0]
 [  0   6   0   0   0   0   0   0]
 [  0   0 144   2   0   0   0   4]
 [  0   0   0 305   4  16   5  16]
 [  0   0   0   0   0   0   1   0]
 [  0   0   0   2   0 103   0   1]
 [  0   5   0   0   0   0  37   0]
 [  1  17   0   5   0   0   1 148]]",,"[0.9696969696969697, 0.2, 1.0, 0.9682539682539683, 0.0, 0.865546218487395, 0.7872340425531915, 0.8757396449704142]","[0.8421052631578947, 1.0, 0.96, 0.8815028901734104, 0.0, 0.9716981132075472, 0.8809523809523809, 0.8604651162790697]","[0.9014084507042254, 0.3333333333333333, 0.9795918367346939, 0.9228441754916793, 0.0, 0.9155555555555556, 0.8314606741573034, 0.8680351906158358]","[38, 6, 150, 346, 1, 106, 42, 172]",0.9913832432281108
random_forest,,,,,0.9744483159117305,0.9758243691623841,0.9744483159117305,0.9750694453132851,"[[ 36   0   0   1   0   0   0   1]
 [  1   5   0   0   0   0   0   0]
 [  0   0 149   0   0   0   0   1]
 [  0   0   1 336   2   0   0   7]
 [  0   0   0   1   0   0   0   0]
 [  0   0   0   0   0 106   0   0]
 [  0   0   0   1   0   0  40   1]
 [  1   1   0   2   0   0   1 167]]",,"[0.9473684210526315, 0.8333333333333334, 0.9933333333333333, 0.9853372434017595, 0.0, 1.0, 0.975609756097561, 0.943502824858757]","[0.9473684210526315, 0.8333333333333334, 0.9933333333333333, 0.9710982658959537, 0.0, 1.0, 0.9523809523809523, 0.9709302325581395]","[0.9473684210526315, 0.8333333333333334, 0.9933333333333333, 0.9781659388646288, 0.0, 1.0, 0.963855421686747, 0.9570200573065902]","[38, 6, 150, 346, 1, 106, 42, 172]",0.996406829508566
