model,accuracy,f1,precision,recall,roc_auc,confusion_matrix
random_forest,0.9930313588850174,0.9950166112956811,0.9966722129783694,0.9933665008291874,0.9998200213403268,"[[256   2]
 [  4 599]]"
log_reg,0.8977932636469221,0.9289176090468497,0.905511811023622,0.9535655058043118,0.9530769922994845,"[[198  60]
 [ 28 575]]"
svc_rbf,0.9047619047619048,0.9316666666666666,0.9363484087102177,0.9270315091210614,0.9740316505328654,"[[220  38]
 [ 44 559]]"
mlp,0.9779326364692218,0.9842061512884456,0.9866666666666667,0.9817578772802653,0.9973774538161904,"[[250   8]
 [ 11 592]]"
deep_nn,0.9454123112659698,0.9600679694137638,0.9843205574912892,0.9369817578772802,0.996413282425084,"[[249   9]
 [ 38 565]]"
